#    L    TT             EE             TE          
   117    0.31428E+04    0.94696E+00   -0.32549E+02
   118    0.31762E+04    0.95698E+00   -0.33124E+02
   119    0.32096E+04    0.96666E+00   -0.33690E+02
   120    0.32432E+04    0.97585E+00   -0.34247E+02
   121    0.32768E+04    0.98483E+00   -0.34795E+02
   122    0.33105E+04    0.99330E+00   -0.35333E+02
   123    0.33443E+04    0.10014E+01   -0.35862E+02
   124    0.33781E+04    0.10091E+01   -0.36377E+02
   125    0.34120E+04    0.10163E+01   -0.36882E+02
   126    0.34459E+04    0.10232E+01   -0.37375E+02
   127    0.34799E+04    0.10296E+01   -0.37857E+02
   128    0.35139E+04    0.10357E+01   -0.38325E+02
   129    0.35479E+04    0.10412E+01   -0.38779E+02
   130    0.35820E+04    0.10462E+01   -0.39219E+02
   131    0.36161E+04    0.10509E+01   -0.39646E+02
   132    0.36502E+04    0.10551E+01   -0.40057E+02
   133    0.36843E+04    0.10588E+01   -0.40454E+02
   134    0.37184E+04    0.10621E+01   -0.40833E+02
   135    0.37525E+04    0.10648E+01   -0.41196E+02
   136    0.37865E+04    0.10671E+01   -0.41541E+02
   137    0.38205E+04    0.10689E+01   -0.41869E+02
   138    0.38544E+04    0.10702E+01   -0.42178E+02
   139    0.38882E+04    0.10712E+01   -0.42469E+02
   140    0.39220E+04    0.10715E+01   -0.42741E+02
   141    0.39556E+04    0.10714E+01   -0.42993E+02
   142    0.39892E+04    0.10708E+01   -0.43225E+02
   143    0.40228E+04    0.10697E+01   -0.43438E+02
   144    0.40562E+04    0.10682E+01   -0.43630E+02
   145    0.40894E+04    0.10663E+01   -0.43801E+02
   146    0.41227E+04    0.10638E+01   -0.43951E+02
   147    0.41557E+04    0.10609E+01   -0.44078E+02
   148    0.41885E+04    0.10575E+01   -0.44184E+02
   149    0.42213E+04    0.10537E+01   -0.44268E+02
   150    0.42539E+04    0.10495E+01   -0.44326E+02
   151    0.42863E+04    0.10448E+01   -0.44363E+02
   152    0.43184E+04    0.10397E+01   -0.44376E+02
   153    0.43504E+04    0.10342E+01   -0.44364E+02
   154    0.43822E+04    0.10283E+01   -0.44328E+02
   155    0.44137E+04    0.10220E+01   -0.44268E+02
   156    0.44450E+04    0.10154E+01   -0.44184E+02
   157    0.44761E+04    0.10084E+01   -0.44075E+02
   158    0.45070E+04    0.10011E+01   -0.43940E+02
   159    0.45376E+04    0.99336E+00   -0.43780E+02
   160    0.45680E+04    0.98534E+00   -0.43594E+02
   161    0.45982E+04    0.97710E+00   -0.43383E+02
   162    0.46281E+04    0.96849E+00   -0.43146E+02
   163    0.46578E+04    0.95958E+00   -0.42883E+02
   164    0.46871E+04    0.95046E+00   -0.42596E+02
   165    0.47163E+04    0.94104E+00   -0.42280E+02
   166    0.47451E+04    0.93148E+00   -0.41939E+02
   167    0.47738E+04    0.92155E+00   -0.41573E+02
   168    0.48020E+04    0.91163E+00   -0.41180E+02
   169    0.48299E+04    0.90141E+00   -0.40759E+02
   170    0.48575E+04    0.89112E+00   -0.40312E+02
   171    0.48846E+04    0.88077E+00   -0.39837E+02
   172    0.49114E+04    0.87026E+00   -0.39335E+02
   173    0.49377E+04    0.85962E+00   -0.38807E+02
   174    0.49637E+04    0.84913E+00   -0.38252E+02
   175    0.49893E+04    0.83849E+00   -0.37669E+02
   176    0.50144E+04    0.82793E+00   -0.37059E+02
   177    0.50392E+04    0.81738E+00   -0.36423E+02
   178    0.50634E+04    0.80705E+00   -0.35759E+02
   179    0.50872E+04    0.79665E+00   -0.35068E+02
   180    0.51107E+04    0.78640E+00   -0.34350E+02
   181    0.51337E+04    0.77631E+00   -0.33607E+02
   182    0.51562E+04    0.76644E+00   -0.32836E+02
