#    L    TT             EE             TE          
   508    0.25579E+04    0.73822E+01   -0.52079E+02
   509    0.25644E+04    0.73020E+01   -0.50940E+02
   510    0.25707E+04    0.72262E+01   -0.49783E+02
   511    0.25768E+04    0.71546E+01   -0.48610E+02
   512    0.25827E+04    0.70875E+01   -0.47421E+02
   513    0.25884E+04    0.70247E+01   -0.46219E+02
   514    0.25938E+04    0.69666E+01   -0.45002E+02
   515    0.25991E+04    0.69130E+01   -0.43772E+02
   516    0.26041E+04    0.68641E+01   -0.42529E+02
   517    0.26088E+04    0.68200E+01   -0.41275E+02
   518    0.26134E+04    0.67805E+01   -0.40010E+02
   519    0.26178E+04    0.67459E+01   -0.38734E+02
   520    0.26218E+04    0.67161E+01   -0.37449E+02
   521    0.26256E+04    0.66912E+01   -0.36156E+02
   522    0.26292E+04    0.66714E+01   -0.34854E+02
   523    0.26326E+04    0.66565E+01   -0.33545E+02
   524    0.26358E+04    0.66466E+01   -0.32230E+02
   525    0.26386E+04    0.66418E+01   -0.30909E+02
   526    0.26412E+04    0.66421E+01   -0.29582E+02
   527    0.26438E+04    0.66475E+01   -0.28252E+02
   528    0.26459E+04    0.66580E+01   -0.26919E+02
   529    0.26479E+04    0.66739E+01   -0.25583E+02
   530    0.26495E+04    0.66950E+01   -0.24246E+02
   531    0.26512E+04    0.67212E+01   -0.22906E+02
   532    0.26524E+04    0.67528E+01   -0.21567E+02
   533    0.26533E+04    0.67897E+01   -0.20229E+02
   534    0.26541E+04    0.68319E+01   -0.18892E+02
   535    0.26545E+04    0.68796E+01   -0.17557E+02
   536    0.26548E+04    0.69325E+01   -0.16225E+02
   537    0.26549E+04    0.69908E+01   -0.14896E+02
   538    0.26547E+04    0.70545E+01   -0.13572E+02
   539    0.26542E+04    0.71235E+01   -0.12253E+02
   540    0.26536E+04    0.71981E+01   -0.10941E+02
   541    0.26526E+04    0.72779E+01   -0.96339E+01
   542    0.26515E+04    0.73631E+01   -0.83356E+01
   543    0.26501E+04    0.74539E+01   -0.70452E+01
   544    0.26485E+04    0.75500E+01   -0.57637E+01
   545    0.26466E+04    0.76515E+01   -0.44918E+01
   546    0.26446E+04    0.77581E+01   -0.32304E+01
   547    0.26423E+04    0.78700E+01   -0.19799E+01
   548    0.26398E+04    0.79874E+01   -0.74137E+00
   549    0.26370E+04    0.81100E+01    0.48447E+00
   550    0.26341E+04    0.82381E+01    0.16970E+01
   551    0.26310E+04    0.83715E+01    0.28957E+01
   552    0.26275E+04    0.85103E+01    0.40793E+01
   553    0.26240E+04    0.86530E+01    0.52477E+01
   554    0.26202E+04    0.88025E+01    0.63999E+01
   555    0.26161E+04    0.89567E+01    0.75352E+01
   556    0.26119E+04    0.91161E+01    0.86535E+01
   557    0.26074E+04    0.92802E+01    0.97528E+01
   558    0.26028E+04    0.94504E+01    0.10834E+02
   559    0.25979E+04    0.96245E+01    0.11896E+02
   560    0.25929E+04    0.98031E+01    0.12937E+02
   561    0.25876E+04    0.99871E+01    0.13958E+02
   562    0.25823E+04    0.10176E+02    0.14957E+02
   563    0.25767E+04    0.10370E+02    0.15936E+02
   564    0.25710E+04    0.10569E+02    0.16890E+02
   565    0.25650E+04    0.10771E+02    0.17823E+02
   566    0.25589E+04    0.10979E+02    0.18732E+02
   567    0.25526E+04    0.11191E+02    0.19616E+02
   568    0.25462E+04    0.11407E+02    0.20476E+02
   569    0.25395E+04    0.11629E+02    0.21312E+02
   570    0.25328E+04    0.11854E+02    0.22120E+02
   571    0.25259E+04    0.12084E+02    0.22903E+02
   572    0.25187E+04    0.12318E+02    0.23659E+02
   573    0.25116E+04    0.12555E+02    0.24387E+02
   574    0.25042E+04    0.12797E+02    0.25088E+02
   575    0.24967E+04    0.13042E+02    0.25760E+02
   576    0.24891E+04    0.13292E+02    0.26404E+02
   577    0.24813E+04    0.13546E+02    0.27020E+02
   578    0.24735E+04    0.13802E+02    0.27605E+02
   579    0.24655E+04    0.14063E+02    0.28161E+02
   580    0.24575E+04    0.14328E+02    0.28686E+02
   581    0.24491E+04    0.14595E+02    0.29182E+02
   582    0.24408E+04    0.14866E+02    0.29647E+02
   583    0.24324E+04    0.15140E+02    0.30079E+02
   584    0.24239E+04    0.15417E+02    0.30480E+02
   585    0.24153E+04    0.15697E+02    0.30849E+02
   586    0.24066E+04    0.15980E+02    0.31186E+02
   587    0.23978E+04    0.16266E+02    0.31491E+02
   588    0.23889E+04    0.16555E+02    0.31762E+02
   589    0.23800E+04    0.16847E+02    0.32001E+02
   590    0.23710E+04    0.17140E+02    0.32206E+02
   591    0.23619E+04    0.17437E+02    0.32378E+02
   592    0.23528E+04    0.17735E+02    0.32515E+02
   593    0.23436E+04    0.18036E+02    0.32620E+02
   594    0.23343E+04    0.18339E+02    0.32689E+02
   595    0.23249E+04    0.18643E+02    0.32725E+02
   596    0.23157E+04    0.18951E+02    0.32726E+02
   597    0.23063E+04    0.19258E+02    0.32693E+02
   598    0.22971E+04    0.19568E+02    0.32625E+02
   599    0.22878E+04    0.19879E+02    0.32523E+02
   600    0.22783E+04    0.20192E+02    0.32386E+02
   601    0.22689E+04    0.20507E+02    0.32214E+02
   602    0.22595E+04    0.20822E+02    0.32007E+02
   603    0.22500E+04    0.21138E+02    0.31766E+02
   604    0.22406E+04    0.21455E+02    0.31489E+02
   605    0.22312E+04    0.21773E+02    0.31178E+02
   606    0.22218E+04    0.22091E+02    0.30833E+02
   607    0.22122E+04    0.22410E+02    0.30452E+02
   608    0.22029E+04    0.22730E+02    0.30037E+02
   609    0.21936E+04    0.23050E+02    0.29587E+02
   610    0.21843E+04    0.23369E+02    0.29103E+02
   611    0.21750E+04    0.23689E+02    0.28585E+02
   612    0.21658E+04    0.24009E+02    0.28033E+02
   613    0.21565E+04    0.24327E+02    0.27446E+02
   614    0.21474E+04    0.24646E+02    0.26825E+02
   615    0.21382E+04    0.24964E+02    0.26172E+02
   616    0.21292E+04    0.25282E+02    0.25485E+02
   617    0.21203E+04    0.25600E+02    0.24764E+02
   618    0.21114E+04    0.25916E+02    0.24010E+02
   619    0.21025E+04    0.26233E+02    0.23226E+02
   620    0.20938E+04    0.26547E+02    0.22408E+02
   621    0.20850E+04    0.26861E+02    0.21558E+02
   622    0.20765E+04    0.27173E+02    0.20675E+02
   623    0.20680E+04    0.27483E+02    0.19762E+02
   624    0.20596E+04    0.27791E+02    0.18818E+02
   625    0.20512E+04    0.28098E+02    0.17843E+02
   626    0.20430E+04    0.28403E+02    0.16837E+02
   627    0.20349E+04    0.28706E+02    0.15801E+02
   628    0.20269E+04    0.29006E+02    0.14736E+02
   629    0.20191E+04    0.29305E+02    0.13641E+02
   630    0.20113E+04    0.29601E+02    0.12516E+02
   631    0.20036E+04    0.29895E+02    0.11364E+02
   632    0.19962E+04    0.30185E+02    0.10182E+02
   633    0.19887E+04    0.30474E+02    0.89742E+01
   634    0.19815E+04    0.30759E+02    0.77390E+01
   635    0.19744E+04    0.31042E+02    0.64772E+01
   636    0.19674E+04    0.31322E+02    0.51895E+01
   637    0.19605E+04    0.31598E+02    0.38753E+01
   638    0.19539E+04    0.31871E+02    0.25367E+01
   639    0.19473E+04    0.32140E+02    0.11729E+01
   640    0.19410E+04    0.32407E+02   -0.21462E+00
   641    0.19347E+04    0.32670E+02   -0.16258E+01
   642    0.19286E+04    0.32928E+02   -0.30600E+01
   643    0.19227E+04    0.33184E+02   -0.45165E+01
   644    0.19170E+04    0.33434E+02   -0.59948E+01
   645    0.19114E+04    0.33681E+02   -0.74946E+01
   646    0.19060E+04    0.33924E+02   -0.90150E+01
   647    0.19008E+04    0.34162E+02   -0.10556E+02
   648    0.18957E+04    0.34396E+02   -0.12116E+02
   649    0.18909E+04    0.34625E+02   -0.13695E+02
   650    0.18862E+04    0.34850E+02   -0.15292E+02
   651    0.18817E+04    0.35071E+02   -0.16907E+02
   652    0.18773E+04    0.35287E+02   -0.18539E+02
   653    0.18733E+04    0.35497E+02   -0.20186E+02
   654    0.18693E+04    0.35703E+02   -0.21849E+02
   655    0.18655E+04    0.35904E+02   -0.23527E+02
   656    0.18620E+04    0.36100E+02   -0.25219E+02
   657    0.18586E+04    0.36291E+02   -0.26923E+02
   658    0.18553E+04    0.36477E+02   -0.28640E+02
   659    0.18524E+04    0.36657E+02   -0.30370E+02
   660    0.18497E+04    0.36831E+02   -0.32110E+02
   661    0.18471E+04    0.37000E+02   -0.33859E+02
   662    0.18447E+04    0.37165E+02   -0.35619E+02
   663    0.18425E+04    0.37324E+02   -0.37389E+02
   664    0.18405E+04    0.37476E+02   -0.39165E+02
   665    0.18387E+04    0.37623E+02   -0.40949E+02
   666    0.18371E+04    0.37764E+02   -0.42740E+02
   667    0.18358E+04    0.37899E+02   -0.44536E+02
   668    0.18345E+04    0.38029E+02   -0.46338E+02
   669    0.18336E+04    0.38153E+02   -0.48144E+02
   670    0.18328E+04    0.38270E+02   -0.49953E+02
   671    0.18323E+04    0.38383E+02   -0.51765E+02
   672    0.18319E+04    0.38488E+02   -0.53579E+02
   673    0.18318E+04    0.38589E+02   -0.55393E+02
   674    0.18318E+04    0.38683E+02   -0.57208E+02
   675    0.18321E+04    0.38770E+02   -0.59023E+02
   676    0.18325E+04    0.38852E+02   -0.60836E+02
   677    0.18331E+04    0.38927E+02   -0.62647E+02
   678    0.18340E+04    0.38995E+02   -0.64456E+02
   679    0.18350E+04    0.39058E+02   -0.66261E+02
   680    0.18364E+04    0.39115E+02   -0.68061E+02
   681    0.18379E+04    0.39165E+02   -0.69856E+02
   682    0.18395E+04    0.39208E+02   -0.71646E+02
   683    0.18415E+04    0.39246E+02   -0.73430E+02
   684    0.18435E+04    0.39276E+02   -0.75207E+02
   685    0.18457E+04    0.39301E+02   -0.76975E+02
   686    0.18482E+04    0.39318E+02   -0.78727E+02
   687    0.18509E+04    0.39330E+02   -0.80474E+02
   688    0.18537E+04    0.39335E+02   -0.82212E+02
   689    0.18568E+04    0.39333E+02   -0.83935E+02
   690    0.18600E+04    0.39326E+02   -0.85650E+02
   691    0.18634E+04    0.39311E+02   -0.87349E+02
   692    0.18670E+04    0.39291E+02   -0.89033E+02
   693    0.18708E+04    0.39264E+02   -0.90709E+02
   694    0.18747E+04    0.39230E+02   -0.92361E+02
   695    0.18789E+04    0.39191E+02   -0.93999E+02
   696    0.18833E+04    0.39145E+02   -0.95635E+02
   697    0.18878E+04    0.39092E+02   -0.97241E+02
   698    0.18925E+04    0.39033E+02   -0.98831E+02
   699    0.18973E+04    0.38968E+02   -0.10040E+03
   700    0.19024E+04    0.38896E+02   -0.10195E+03
   701    0.19076E+04    0.38818E+02   -0.10348E+03
   702    0.19130E+04    0.38734E+02   -0.10499E+03
   703    0.19185E+04    0.38644E+02   -0.10649E+03
   704    0.19242E+04    0.38548E+02   -0.10796E+03
   705    0.19300E+04    0.38446E+02   -0.10940E+03
   706    0.19359E+04    0.38338E+02   -0.11083E+03
   707    0.19420E+04    0.38223E+02   -0.11223E+03
   708    0.19484E+04    0.38104E+02   -0.11359E+03
   709    0.19548E+04    0.37978E+02   -0.11495E+03
   710    0.19614E+04    0.37846E+02   -0.11628E+03
   711    0.19681E+04    0.37708E+02   -0.11757E+03
   712    0.19750E+04    0.37565E+02   -0.11885E+03
   713    0.19821E+04    0.37417E+02   -0.12009E+03
   714    0.19891E+04    0.37263E+02   -0.12131E+03
   715    0.19963E+04    0.37103E+02   -0.12250E+03
   716    0.20037E+04    0.36938E+02   -0.12366E+03
   717    0.20112E+04    0.36768E+02   -0.12479E+03
   718    0.20187E+04    0.36593E+02   -0.12589E+03
   719    0.20264E+04    0.36411E+02   -0.12696E+03
   720    0.20342E+04    0.36226E+02   -0.12800E+03
   721    0.20422E+04    0.36036E+02   -0.12900E+03
   722    0.20501E+04    0.35840E+02   -0.12997E+03
   723    0.20582E+04    0.35640E+02   -0.13092E+03
   724    0.20664E+04    0.35435E+02   -0.13183E+03
   725    0.20746E+04    0.35227E+02   -0.13271E+03
   726    0.20830E+04    0.35015E+02   -0.13355E+03
   727    0.20914E+04    0.34797E+02   -0.13436E+03
   728    0.20999E+04    0.34573E+02   -0.13514E+03
   729    0.21085E+04    0.34347E+02   -0.13588E+03
   730    0.21170E+04    0.34116E+02   -0.13659E+03
   731    0.21258E+04    0.33881E+02   -0.13725E+03
   732    0.21345E+04    0.33644E+02   -0.13788E+03
   733    0.21434E+04    0.33401E+02   -0.13849E+03
   734    0.21522E+04    0.33155E+02   -0.13904E+03
   735    0.21612E+04    0.32905E+02   -0.13957E+03
   736    0.21701E+04    0.32652E+02   -0.14006E+03
   737    0.21791E+04    0.32396E+02   -0.14051E+03
   738    0.21880E+04    0.32138E+02   -0.14092E+03
   739    0.21970E+04    0.31875E+02   -0.14129E+03
   740    0.22061E+04    0.31610E+02   -0.14164E+03
   741    0.22151E+04    0.31341E+02   -0.14194E+03
   742    0.22242E+04    0.31071E+02   -0.14220E+03
   743    0.22333E+04    0.30800E+02   -0.14242E+03
   744    0.22425E+04    0.30524E+02   -0.14260E+03
   745    0.22516E+04    0.30247E+02   -0.14276E+03
   746    0.22606E+04    0.29967E+02   -0.14285E+03
   747    0.22696E+04    0.29685E+02   -0.14292E+03
   748    0.22787E+04    0.29402E+02   -0.14296E+03
   749    0.22878E+04    0.29115E+02   -0.14296E+03
   750    0.22968E+04    0.28828E+02   -0.14291E+03
   751    0.23058E+04    0.28539E+02   -0.14283E+03
   752    0.23148E+04    0.28250E+02   -0.14270E+03
   753    0.23238E+04    0.27958E+02   -0.14254E+03
   754    0.23326E+04    0.27666E+02   -0.14233E+03
   755    0.23416E+04    0.27372E+02   -0.14209E+03
   756    0.23503E+04    0.27078E+02   -0.14181E+03
   757    0.23591E+04    0.26784E+02   -0.14149E+03
   758    0.23678E+04    0.26488E+02   -0.14112E+03
   759    0.23764E+04    0.26191E+02   -0.14073E+03
   760    0.23850E+04    0.25895E+02   -0.14029E+03
   761    0.23935E+04    0.25598E+02   -0.13982E+03
   762    0.24020E+04    0.25302E+02   -0.13931E+03
   763    0.24103E+04    0.25006E+02   -0.13876E+03
   764    0.24186E+04    0.24709E+02   -0.13818E+03
   765    0.24268E+04    0.24413E+02   -0.13756E+03
   766    0.24349E+04    0.24118E+02   -0.13690E+03
   767    0.24429E+04    0.23824E+02   -0.13620E+03
   768    0.24508E+04    0.23530E+02   -0.13546E+03
   769    0.24587E+04    0.23236E+02   -0.13470E+03
   770    0.24664E+04    0.22944E+02   -0.13389E+03
   771    0.24740E+04    0.22653E+02   -0.13305E+03
   772    0.24814E+04    0.22364E+02   -0.13216E+03
   773    0.24888E+04    0.22076E+02   -0.13125E+03
   774    0.24960E+04    0.21790E+02   -0.13030E+03
   775    0.25032E+04    0.21506E+02   -0.12932E+03
   776    0.25101E+04    0.21223E+02   -0.12831E+03
   777    0.25170E+04    0.20943E+02   -0.12726E+03
   778    0.25239E+04    0.20664E+02   -0.12617E+03
   779    0.25304E+04    0.20388E+02   -0.12505E+03
   780    0.25368E+04    0.20113E+02   -0.12390E+03
   781    0.25432E+04    0.19843E+02   -0.12273E+03
   782    0.25493E+04    0.19574E+02   -0.12153E+03
   783    0.25554E+04    0.19308E+02   -0.12028E+03
   784    0.25613E+04    0.19045E+02   -0.11901E+03
   785    0.25669E+04    0.18785E+02   -0.11771E+03
   786    0.25725E+04    0.18528E+02   -0.11635E+03
   787    0.25779E+04    0.18274E+02   -0.11499E+03
   788    0.25831E+04    0.18024E+02   -0.11359E+03
   789    0.25881E+04    0.17775E+02   -0.11218E+03
   790    0.25930E+04    0.17533E+02   -0.11073E+03
   791    0.25978E+04    0.17293E+02   -0.10924E+03
   792    0.26023E+04    0.17057E+02   -0.10774E+03
   793    0.26067E+04    0.16827E+02   -0.10620E+03
   794    0.26108E+04    0.16600E+02   -0.10465E+03
   795    0.26147E+04    0.16376E+02   -0.10306E+03
   796    0.26186E+04    0.16158E+02   -0.10146E+03
   797    0.26222E+04    0.15943E+02   -0.99831E+02
   798    0.26256E+04    0.15733E+02   -0.98184E+02
   799    0.26288E+04    0.15528E+02   -0.96513E+02
   800    0.26319E+04    0.15327E+02   -0.94819E+02
   801    0.26348E+04    0.15132E+02   -0.93109E+02
   802    0.26373E+04    0.14941E+02   -0.91362E+02
   803    0.26398E+04    0.14754E+02   -0.89613E+02
   804    0.26421E+04    0.14573E+02   -0.87834E+02
   805    0.26442E+04    0.14397E+02   -0.86039E+02
   806    0.26460E+04    0.14226E+02   -0.84228E+02
   807    0.26476E+04    0.14061E+02   -0.82402E+02
   808    0.26490E+04    0.13901E+02   -0.80553E+02
   809    0.26503E+04    0.13747E+02   -0.78696E+02
   810    0.26512E+04    0.13598E+02   -0.76816E+02
   811    0.26520E+04    0.13454E+02   -0.74921E+02
   812    0.26526E+04    0.13318E+02   -0.73016E+02
   813    0.26529E+04    0.13185E+02   -0.71100E+02
   814    0.26532E+04    0.13060E+02   -0.69172E+02
   815    0.26531E+04    0.12940E+02   -0.67232E+02
   816    0.26528E+04    0.12826E+02   -0.65281E+02
   817    0.26523E+04    0.12717E+02   -0.63321E+02
   818    0.26517E+04    0.12616E+02   -0.61351E+02
   819    0.26508E+04    0.12520E+02   -0.59372E+02
   820    0.26497E+04    0.12430E+02   -0.57386E+02
   821    0.26484E+04    0.12345E+02   -0.55393E+02
   822    0.26468E+04    0.12269E+02   -0.53394E+02
   823    0.26451E+04    0.12197E+02   -0.51389E+02
   824    0.26430E+04    0.12133E+02   -0.49379E+02
   825    0.26409E+04    0.12074E+02   -0.47365E+02
   826    0.26384E+04    0.12023E+02   -0.45348E+02
   827    0.26357E+04    0.11977E+02   -0.43329E+02
   828    0.26330E+04    0.11938E+02   -0.41308E+02
   829    0.26299E+04    0.11907E+02   -0.39287E+02
   830    0.26266E+04    0.11881E+02   -0.37267E+02
   831    0.26232E+04    0.11862E+02   -0.35247E+02
   832    0.26195E+04    0.11848E+02   -0.33228E+02
   833    0.26156E+04    0.11842E+02   -0.31213E+02
   834    0.26115E+04    0.11842E+02   -0.29199E+02
   835    0.26072E+04    0.11850E+02   -0.27190E+02
   836    0.26026E+04    0.11863E+02   -0.25184E+02
   837    0.25979E+04    0.11883E+02   -0.23185E+02
   838    0.25929E+04    0.11910E+02   -0.21191E+02
   839    0.25877E+04    0.11944E+02   -0.19202E+02
   840    0.25823E+04    0.11985E+02   -0.17221E+02
   841    0.25768E+04    0.12031E+02   -0.15250E+02
   842    0.25709E+04    0.12084E+02   -0.13285E+02
   843    0.25650E+04    0.12144E+02   -0.11333E+02
   844    0.25587E+04    0.12210E+02   -0.93894E+01
   845    0.25524E+04    0.12282E+02   -0.74577E+01
   846    0.25459E+04    0.12363E+02   -0.55382E+01
   847    0.25392E+04    0.12448E+02   -0.36309E+01
   848    0.25323E+04    0.12541E+02   -0.17376E+01
   849    0.25251E+04    0.12639E+02    0.14225E+00
   850    0.25179E+04    0.12745E+02    0.20075E+01
   851    0.25103E+04    0.12857E+02    0.38575E+01
   852    0.25027E+04    0.12976E+02    0.56918E+01
   853    0.24948E+04    0.13100E+02    0.75097E+01
   854    0.24868E+04    0.13231E+02    0.93097E+01
   855    0.24785E+04    0.13368E+02    0.11093E+02
   856    0.24701E+04    0.13511E+02    0.12857E+02
   857    0.24615E+04    0.13660E+02    0.14602E+02
   858    0.24528E+04    0.13816E+02    0.16327E+02
   859    0.24438E+04    0.13976E+02    0.18034E+02
   860    0.24348E+04    0.14143E+02    0.19718E+02
   861    0.24256E+04    0.14317E+02    0.21381E+02
   862    0.24162E+04    0.14495E+02    0.23023E+02
   863    0.24066E+04    0.14680E+02    0.24641E+02
   864    0.23969E+04    0.14869E+02    0.26236E+02
   865    0.23869E+04    0.15065E+02    0.27807E+02
   866    0.23771E+04    0.15266E+02    0.29353E+02
   867    0.23669E+04    0.15473E+02    0.30875E+02
   868    0.23567E+04    0.15685E+02    0.32371E+02
   869    0.23462E+04    0.15902E+02    0.33842E+02
   870    0.23357E+04    0.16124E+02    0.35286E+02
   871    0.23250E+04    0.16351E+02    0.36703E+02
   872    0.23142E+04    0.16584E+02    0.38094E+02
   873    0.23033E+04    0.16821E+02    0.39456E+02
   874    0.22922E+04    0.17064E+02    0.40790E+02
   875    0.22810E+04    0.17310E+02    0.42096E+02
   876    0.22697E+04    0.17562E+02    0.43374E+02
   877    0.22584E+04    0.17818E+02    0.44621E+02
   878    0.22468E+04    0.18077E+02    0.45839E+02
   879    0.22353E+04    0.18342E+02    0.47027E+02
   880    0.22236E+04    0.18611E+02    0.48184E+02
   881    0.22118E+04    0.18883E+02    0.49310E+02
   882    0.21999E+04    0.19160E+02    0.50404E+02
   883    0.21880E+04    0.19441E+02    0.51466E+02
   884    0.21759E+04    0.19725E+02    0.52497E+02
   885    0.21637E+04    0.20013E+02    0.53495E+02
   886    0.21515E+04    0.20305E+02    0.54460E+02
   887    0.21391E+04    0.20599E+02    0.55392E+02
   888    0.21268E+04    0.20898E+02    0.56290E+02
   889    0.21142E+04    0.21199E+02    0.57156E+02
   890    0.21017E+04    0.21504E+02    0.57986E+02
   891    0.20892E+04    0.21811E+02    0.58783E+02
   892    0.20766E+04    0.22121E+02    0.59546E+02
   893    0.20638E+04    0.22434E+02    0.60275E+02
   894    0.20512E+04    0.22749E+02    0.60968E+02
   895    0.20383E+04    0.23066E+02    0.61629E+02
   896    0.20255E+04    0.23387E+02    0.62253E+02
   897    0.20126E+04    0.23709E+02    0.62843E+02
   898    0.19998E+04    0.24034E+02    0.63398E+02
   899    0.19869E+04    0.24360E+02    0.63917E+02
   900    0.19739E+04    0.24688E+02    0.64401E+02
   901    0.19610E+04    0.25018E+02    0.64849E+02
   902    0.19480E+04    0.25349E+02    0.65262E+02
   903    0.19349E+04    0.25681E+02    0.65639E+02
   904    0.19219E+04    0.26014E+02    0.65980E+02
   905    0.19089E+04    0.26350E+02    0.66285E+02
   906    0.18958E+04    0.26686E+02    0.66554E+02
   907    0.18828E+04    0.27022E+02    0.66788E+02
   908    0.18699E+04    0.27359E+02    0.66986E+02
   909    0.18569E+04    0.27697E+02    0.67147E+02
   910    0.18439E+04    0.28036E+02    0.67274E+02
   911    0.18309E+04    0.28374E+02    0.67364E+02
   912    0.18179E+04    0.28713E+02    0.67420E+02
   913    0.18047E+04    0.29051E+02    0.67439E+02
   914    0.17919E+04    0.29390E+02    0.67424E+02
   915    0.17789E+04    0.29728E+02    0.67374E+02
   916    0.17660E+04    0.30066E+02    0.67288E+02
   917    0.17531E+04    0.30404E+02    0.67169E+02
   918    0.17404E+04    0.30741E+02    0.67014E+02
   919    0.17276E+04    0.31076E+02    0.66825E+02
   920    0.17149E+04    0.31411E+02    0.66600E+02
   921    0.17023E+04    0.31746E+02    0.66342E+02
   922    0.16896E+04    0.32078E+02    0.66050E+02
   923    0.16770E+04    0.32409E+02    0.65724E+02
   924    0.16645E+04    0.32739E+02    0.65365E+02
   925    0.16521E+04    0.33067E+02    0.64971E+02
   926    0.16397E+04    0.33394E+02    0.64546E+02
   927    0.16274E+04    0.33719E+02    0.64088E+02
   928    0.16152E+04    0.34042E+02    0.63597E+02
   929    0.16030E+04    0.34362E+02    0.63075E+02
   930    0.15910E+04    0.34680E+02    0.62520E+02
   931    0.15789E+04    0.34996E+02    0.61934E+02
   932    0.15670E+04    0.35309E+02    0.61317E+02
   933    0.15552E+04    0.35619E+02    0.60670E+02
   934    0.15435E+04    0.35928E+02    0.59993E+02
   935    0.15318E+04    0.36233E+02    0.59284E+02
   936    0.15203E+04    0.36534E+02    0.58546E+02
   937    0.15088E+04    0.36834E+02    0.57779E+02
   938    0.14975E+04    0.37130E+02    0.56984E+02
   939    0.14863E+04    0.37421E+02    0.56159E+02
   940    0.14751E+04    0.37710E+02    0.55306E+02
   941    0.14641E+04    0.37995E+02    0.54426E+02
   942    0.14531E+04    0.38276E+02    0.53518E+02
   943    0.14424E+04    0.38553E+02    0.52584E+02
   944    0.14317E+04    0.38826E+02    0.51622E+02
   945    0.14212E+04    0.39094E+02    0.50635E+02
   946    0.14108E+04    0.39360E+02    0.49623E+02
   947    0.14005E+04    0.39620E+02    0.48586E+02
   948    0.13901E+04    0.39877E+02    0.47524E+02
   949    0.13801E+04    0.40128E+02    0.46438E+02
   950    0.13702E+04    0.40375E+02    0.45329E+02
   951    0.13604E+04    0.40618E+02    0.44197E+02
   952    0.13508E+04    0.40857E+02    0.43043E+02
   953    0.13413E+04    0.41089E+02    0.41867E+02
   954    0.13319E+04    0.41317E+02    0.40669E+02
   955    0.13226E+04    0.41539E+02    0.39451E+02
   956    0.13135E+04    0.41757E+02    0.38211E+02
   957    0.13046E+04    0.41969E+02    0.36953E+02
   958    0.12957E+04    0.42175E+02    0.35675E+02
   959    0.12871E+04    0.42377E+02    0.34378E+02
   960    0.12785E+04    0.42573E+02    0.33064E+02
   961    0.12701E+04    0.42763E+02    0.31732E+02
   962    0.12619E+04    0.42948E+02    0.30384E+02
   963    0.12539E+04    0.43127E+02    0.29020E+02
   964    0.12460E+04    0.43300E+02    0.27640E+02
   965    0.12382E+04    0.43468E+02    0.26246E+02
   966    0.12306E+04    0.43630E+02    0.24837E+02
   967    0.12231E+04    0.43787E+02    0.23414E+02
   968    0.12158E+04    0.43936E+02    0.21979E+02
   969    0.12086E+04    0.44079E+02    0.20531E+02
   970    0.12017E+04    0.44217E+02    0.19071E+02
   971    0.11948E+04    0.44348E+02    0.17600E+02
   972    0.11881E+04    0.44473E+02    0.16118E+02
   973    0.11816E+04    0.44591E+02    0.14626E+02
   974    0.11752E+04    0.44704E+02    0.13124E+02
   975    0.11691E+04    0.44811E+02    0.11614E+02
   976    0.11630E+04    0.44910E+02    0.10096E+02
   977    0.11572E+04    0.45003E+02    0.85713E+01
   978    0.11514E+04    0.45090E+02    0.70393E+01
   979    0.11459E+04    0.45171E+02    0.55017E+01
   980    0.11406E+04    0.45245E+02    0.39582E+01
   981    0.11353E+04    0.45311E+02    0.24099E+01
   982    0.11303E+04    0.45372E+02    0.85757E+00
   983    0.11254E+04    0.45427E+02   -0.69849E+00
   984    0.11207E+04    0.45472E+02   -0.22575E+01
   985    0.11161E+04    0.45513E+02   -0.38191E+01
   986    0.11117E+04    0.45547E+02   -0.53821E+01
   987    0.11074E+04    0.45574E+02   -0.69467E+01
   988    0.11033E+04    0.45596E+02   -0.85115E+01
   989    0.10994E+04    0.45610E+02   -0.10075E+02
   990    0.10957E+04    0.45620E+02   -0.11639E+02
   991    0.10921E+04    0.45621E+02   -0.13201E+02
   992    0.10887E+04    0.45615E+02   -0.14762E+02
   993    0.10853E+04    0.45602E+02   -0.16320E+02
   994    0.10822E+04    0.45584E+02   -0.17874E+02
   995    0.10793E+04    0.45558E+02   -0.19424E+02
   996    0.10765E+04    0.45524E+02   -0.20970E+02
   997    0.10738E+04    0.45487E+02   -0.22511E+02
   998    0.10714E+04    0.45441E+02   -0.24045E+02
   999    0.10690E+04    0.45389E+02   -0.25574E+02
  1000    0.10668E+04    0.45331E+02   -0.27096E+02
  1001    0.10648E+04    0.45265E+02   -0.28609E+02
  1002    0.10629E+04    0.45193E+02   -0.30114E+02
  1003    0.10612E+04    0.45115E+02   -0.31611E+02
  1004    0.10596E+04    0.45030E+02   -0.33099E+02
  1005    0.10583E+04    0.44939E+02   -0.34575E+02
  1006    0.10571E+04    0.44841E+02   -0.36042E+02
  1007    0.10559E+04    0.44737E+02   -0.37498E+02
  1008    0.10547E+04    0.44626E+02   -0.38941E+02
  1009    0.10538E+04    0.44510E+02   -0.40373E+02
  1010    0.10531E+04    0.44387E+02   -0.41792E+02
  1011    0.10525E+04    0.44260E+02   -0.43198E+02
  1012    0.10521E+04    0.44125E+02   -0.44592E+02
  1013    0.10518E+04    0.43985E+02   -0.45970E+02
  1014    0.10516E+04    0.43839E+02   -0.47335E+02
