#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.302799E-02   0.188794E+08   0.188746E+08   0.727653E+03  -0.540323E+05   0.000000E+00   0.188786E+08   0.188786E+08   0.188786E+08  -0.444433E+00   0.980917E+07   0.980845E+07   0.794614E+02
   0.368254E-02   0.185652E+08   0.185600E+08  -0.223780E+05  -0.359215E+05   0.000000E+00   0.185644E+08   0.185644E+08   0.185644E+08  -0.437034E+00   0.964586E+07   0.964513E+07   0.655302E+02
   0.447859E-02   0.181778E+08   0.181720E+08  -0.140167E+05  -0.237790E+05   0.000000E+00   0.181769E+08   0.181769E+08   0.181769E+08  -0.427912E+00   0.944451E+07   0.944380E+07   0.530733E+02
   0.544671E-02   0.177062E+08   0.176994E+08  -0.147080E+05  -0.156594E+05   0.000000E+00   0.177051E+08   0.177051E+08   0.177051E+08  -0.416804E+00   0.919935E+07   0.919864E+07   0.432327E+02
   0.662412E-02   0.171389E+08   0.171308E+08  -0.985210E+04  -0.102479E+05   0.000000E+00   0.171376E+08   0.171376E+08   0.171376E+08  -0.403445E+00   0.890450E+07   0.890380E+07   0.352248E+02
   0.805604E-02   0.164648E+08   0.164548E+08  -0.761315E+04  -0.665591E+04   0.000000E+00   0.164632E+08   0.164632E+08   0.164632E+08  -0.387568E+00   0.855407E+07   0.855338E+07   0.285811E+02
   0.979750E-02   0.156743E+08   0.156616E+08   0.123528E+04  -0.428390E+04   0.000000E+00   0.156723E+08   0.156723E+08   0.156723E+08  -0.368950E+00   0.814315E+07   0.814246E+07   0.232746E+02
   0.119154E-01   0.147533E+08   0.147369E+08  -0.272445E+04  -0.272604E+04   0.000000E+00   0.147507E+08   0.147507E+08   0.147507E+08  -0.347253E+00   0.766429E+07   0.766361E+07   0.190626E+02
   0.144911E-01   0.136994E+08   0.136781E+08   0.388700E+03  -0.171132E+04   0.000000E+00   0.136961E+08   0.136961E+08   0.136961E+08  -0.322426E+00   0.711632E+07   0.711564E+07   0.157178E+02
   0.176237E-01   0.124989E+08   0.124714E+08  -0.118948E+04  -0.105554E+04   0.000000E+00   0.124946E+08   0.124946E+08   0.124946E+08  -0.294141E+00   0.649206E+07   0.649137E+07   0.130227E+02
