#    L    TT             EE             TE          
   117    0.33110E+04    0.94874E+00   -0.33869E+02
   118    0.33465E+04    0.95871E+00   -0.34455E+02
   119    0.33819E+04    0.96832E+00   -0.35032E+02
   120    0.34176E+04    0.97744E+00   -0.35599E+02
   121    0.34532E+04    0.98634E+00   -0.36156E+02
   122    0.34889E+04    0.99475E+00   -0.36704E+02
   123    0.35247E+04    0.10027E+01   -0.37240E+02
   124    0.35606E+04    0.10103E+01   -0.37764E+02
   125    0.35965E+04    0.10175E+01   -0.38276E+02
   126    0.36324E+04    0.10243E+01   -0.38776E+02
   127    0.36684E+04    0.10306E+01   -0.39264E+02
   128    0.37043E+04    0.10366E+01   -0.39738E+02
   129    0.37404E+04    0.10420E+01   -0.40197E+02
   130    0.37764E+04    0.10470E+01   -0.40641E+02
   131    0.38124E+04    0.10515E+01   -0.41072E+02
   132    0.38485E+04    0.10556E+01   -0.41486E+02
   133    0.38845E+04    0.10592E+01   -0.41885E+02
   134    0.39206E+04    0.10623E+01   -0.42265E+02
   135    0.39566E+04    0.10650E+01   -0.42630E+02
   136    0.39924E+04    0.10671E+01   -0.42974E+02
   137    0.40283E+04    0.10688E+01   -0.43301E+02
   138    0.40641E+04    0.10700E+01   -0.43609E+02
   139    0.40997E+04    0.10708E+01   -0.43898E+02
   140    0.41353E+04    0.10711E+01   -0.44167E+02
   141    0.41707E+04    0.10708E+01   -0.44416E+02
   142    0.42062E+04    0.10701E+01   -0.44643E+02
   143    0.42415E+04    0.10689E+01   -0.44851E+02
   144    0.42766E+04    0.10672E+01   -0.45037E+02
   145    0.43116E+04    0.10652E+01   -0.45201E+02
   146    0.43467E+04    0.10626E+01   -0.45344E+02
   147    0.43813E+04    0.10596E+01   -0.45462E+02
   148    0.44159E+04    0.10560E+01   -0.45559E+02
   149    0.44503E+04    0.10521E+01   -0.45633E+02
   150    0.44845E+04    0.10478E+01   -0.45681E+02
   151    0.45185E+04    0.10430E+01   -0.45706E+02
   152    0.45522E+04    0.10377E+01   -0.45707E+02
   153    0.45858E+04    0.10321E+01   -0.45681E+02
   154    0.46191E+04    0.10261E+01   -0.45632E+02
   155    0.46522E+04    0.10197E+01   -0.45557E+02
   156    0.46849E+04    0.10129E+01   -0.45457E+02
   157    0.47176E+04    0.10058E+01   -0.45331E+02
   158    0.47499E+04    0.99843E+00   -0.45179E+02
   159    0.47819E+04    0.99059E+00   -0.45002E+02
   160    0.48137E+04    0.98246E+00   -0.44797E+02
   161    0.48452E+04    0.97411E+00   -0.44566E+02
   162    0.48765E+04    0.96540E+00   -0.44309E+02
   163    0.49075E+04    0.95640E+00   -0.44025E+02
   164    0.49381E+04    0.94719E+00   -0.43716E+02
   165    0.49686E+04    0.93768E+00   -0.43378E+02
   166    0.49987E+04    0.92803E+00   -0.43013E+02
   167    0.50285E+04    0.91802E+00   -0.42622E+02
   168    0.50579E+04    0.90802E+00   -0.42204E+02
   169    0.50870E+04    0.89773E+00   -0.41757E+02
   170    0.51157E+04    0.88737E+00   -0.41283E+02
   171    0.51439E+04    0.87695E+00   -0.40781E+02
   172    0.51718E+04    0.86639E+00   -0.40251E+02
   173    0.51992E+04    0.85569E+00   -0.39693E+02
   174    0.52262E+04    0.84515E+00   -0.39108E+02
   175    0.52528E+04    0.83447E+00   -0.38495E+02
   176    0.52789E+04    0.82387E+00   -0.37853E+02
   177    0.53045E+04    0.81328E+00   -0.37185E+02
   178    0.53297E+04    0.80293E+00   -0.36488E+02
   179    0.53544E+04    0.79251E+00   -0.35763E+02
   180    0.53787E+04    0.78224E+00   -0.35011E+02
   181    0.54025E+04    0.77214E+00   -0.34233E+02
   182    0.54258E+04    0.76226E+00   -0.33426E+02
   183    0.54486E+04    0.75255E+00   -0.32592E+02
   184    0.54709E+04    0.74306E+00   -0.31730E+02
   185    0.54928E+04    0.73395E+00   -0.30844E+02
   186    0.55138E+04    0.72508E+00   -0.29929E+02
   187    0.55346E+04    0.71659E+00   -0.28987E+02
   188    0.55549E+04    0.70847E+00   -0.28019E+02
   189    0.55745E+04    0.70075E+00   -0.27025E+02
   190    0.55940E+04    0.69347E+00   -0.26007E+02
   191    0.56125E+04    0.68668E+00   -0.24960E+02
   192    0.56306E+04    0.68038E+00   -0.23888E+02
   193    0.56481E+04    0.67462E+00   -0.22793E+02
   194    0.56652E+04    0.66943E+00   -0.21671E+02
   195    0.56817E+04    0.66485E+00   -0.20525E+02
   196    0.56975E+04    0.66092E+00   -0.19355E+02
   197    0.57129E+04    0.65767E+00   -0.18162E+02
   198    0.57277E+04    0.65513E+00   -0.16944E+02
   199    0.57420E+04    0.65335E+00   -0.15704E+02
   200    0.57557E+04    0.65234E+00   -0.14441E+02
   201    0.57688E+04    0.65217E+00   -0.13155E+02
   202    0.57813E+04    0.65284E+00   -0.11847E+02
   203    0.57932E+04    0.65442E+00   -0.10517E+02
   204    0.58045E+04    0.65692E+00   -0.91669E+01
   205    0.58151E+04    0.66040E+00   -0.77957E+01
   206    0.58251E+04    0.66488E+00   -0.64040E+01
   207    0.58345E+04    0.67040E+00   -0.49925E+01
   208    0.58432E+04    0.67701E+00   -0.35616E+01
   209    0.58512E+04    0.68472E+00   -0.21118E+01
   210    0.58586E+04    0.69360E+00   -0.64386E+00
   211    0.58654E+04    0.70366E+00    0.84206E+00
   212    0.58713E+04    0.71495E+00    0.23450E+01
   213    0.58768E+04    0.72750E+00    0.38651E+01
   214    0.58815E+04    0.74131E+00    0.54009E+01
   215    0.58857E+04    0.75657E+00    0.69519E+01
   216    0.58891E+04    0.77311E+00    0.85185E+01
   217    0.58920E+04    0.79106E+00    0.10099E+02
   218    0.58941E+04    0.81044E+00    0.11693E+02
   219    0.58957E+04    0.83124E+00    0.13301E+02
   220    0.58966E+04    0.85362E+00    0.14920E+02
   221    0.58969E+04    0.87750E+00    0.16552E+02
   222    0.58966E+04    0.90303E+00    0.18194E+02
   223    0.58955E+04    0.93013E+00    0.19848E+02
   224    0.58939E+04    0.95881E+00    0.21511E+02
   225    0.58916E+04    0.98921E+00    0.23184E+02
   226    0.58887E+04    0.10213E+01    0.24864E+02
   227    0.58851E+04    0.10552E+01    0.26553E+02
   228    0.58809E+04    0.10908E+01    0.28249E+02
   229    0.58761E+04    0.11282E+01    0.29951E+02
   230    0.58706E+04    0.11673E+01    0.31659E+02
   231    0.58644E+04    0.12084E+01    0.33373E+02
   232    0.58577E+04    0.12513E+01    0.35091E+02
   233    0.58503E+04    0.12962E+01    0.36812E+02
   234    0.58422E+04    0.13429E+01    0.38536E+02
   235    0.58335E+04    0.13916E+01    0.40262E+02
   236    0.58241E+04    0.14423E+01    0.41990E+02
   237    0.58140E+04    0.14950E+01    0.43718E+02
   238    0.58034E+04    0.15498E+01    0.45447E+02
   239    0.57922E+04    0.16066E+01    0.47175E+02
   240    0.57802E+04    0.16654E+01    0.48901E+02
   241    0.57677E+04    0.17263E+01    0.50624E+02
   242    0.57546E+04    0.17893E+01    0.52345E+02
   243    0.57409E+04    0.18545E+01    0.54062E+02
   244    0.57265E+04    0.19218E+01    0.55776E+02
   245    0.57116E+04    0.19912E+01    0.57482E+02
   246    0.56960E+04    0.20629E+01    0.59184E+02
   247    0.56799E+04    0.21366E+01    0.60879E+02
   248    0.56632E+04    0.22128E+01    0.62567E+02
   249    0.56460E+04    0.22910E+01    0.64246E+02
   250    0.56282E+04    0.23716E+01    0.65916E+02
   251    0.56099E+04    0.24543E+01    0.67578E+02
   252    0.55909E+04    0.25393E+01    0.69229E+02
   253    0.55715E+04    0.26265E+01    0.70868E+02
   254    0.55516E+04    0.27160E+01    0.72495E+02
   255    0.55310E+04    0.28077E+01    0.74111E+02
   256    0.55100E+04    0.29018E+01    0.75715E+02
   257    0.54886E+04    0.29980E+01    0.77299E+02
   258    0.54665E+04    0.30966E+01    0.78875E+02
   259    0.54440E+04    0.31974E+01    0.80429E+02
   260    0.54211E+04    0.33005E+01    0.81975E+02
   261    0.53977E+04    0.34058E+01    0.83492E+02
   262    0.53736E+04    0.35135E+01    0.85001E+02
   263    0.53495E+04    0.36233E+01    0.86495E+02
   264    0.53246E+04    0.37355E+01    0.87967E+02
   265    0.52993E+04    0.38498E+01    0.89408E+02
   266    0.52736E+04    0.39665E+01    0.90842E+02
   267    0.52474E+04    0.40853E+01    0.92246E+02
   268    0.52207E+04    0.42064E+01    0.93635E+02
   269    0.51935E+04    0.43297E+01    0.95001E+02
   270    0.51661E+04    0.44552E+01    0.96345E+02
   271    0.51382E+04    0.45828E+01    0.97666E+02
   272    0.51100E+04    0.47128E+01    0.98957E+02
   273    0.50814E+04    0.48446E+01    0.10023E+03
   274    0.50525E+04    0.49788E+01    0.10147E+03
   275    0.50231E+04    0.51149E+01    0.10269E+03
   276    0.49935E+04    0.52531E+01    0.10388E+03
   277    0.49635E+04    0.53934E+01    0.10505E+03
   278    0.49331E+04    0.55358E+01    0.10618E+03
   279    0.49025E+04    0.56802E+01    0.10728E+03
   280    0.48716E+04    0.58265E+01    0.10837E+03
   281    0.48404E+04    0.59748E+01    0.10942E+03
   282    0.48088E+04    0.61249E+01    0.11043E+03
   283    0.47771E+04    0.62769E+01    0.11142E+03
   284    0.47451E+04    0.64309E+01    0.11238E+03
   285    0.47128E+04    0.65867E+01    0.11331E+03
   286    0.46803E+04    0.67443E+01    0.11419E+03
   287    0.46474E+04    0.69036E+01    0.11506E+03
   288    0.46145E+04    0.70647E+01    0.11589E+03
   289    0.45812E+04    0.72274E+01    0.11668E+03
   290    0.45479E+04    0.73916E+01    0.11745E+03
   291    0.45143E+04    0.75582E+01    0.11817E+03
   292    0.44803E+04    0.77258E+01    0.11887E+03
   293    0.44464E+04    0.78943E+01    0.11952E+03
   294    0.44122E+04    0.80650E+01    0.12015E+03
   295    0.43780E+04    0.82365E+01    0.12074E+03
   296    0.43436E+04    0.84102E+01    0.12129E+03
   297    0.43090E+04    0.85840E+01    0.12181E+03
   298    0.42742E+04    0.87601E+01    0.12229E+03
   299    0.42394E+04    0.89376E+01    0.12272E+03
   300    0.42044E+04    0.91153E+01    0.12312E+03
   301    0.41694E+04    0.92944E+01    0.12349E+03
   302    0.41343E+04    0.94743E+01    0.12383E+03
   303    0.40991E+04    0.96558E+01    0.12412E+03
   304    0.40639E+04    0.98387E+01    0.12437E+03
   305    0.40286E+04    0.10022E+02    0.12459E+03
   306    0.39933E+04    0.10205E+02    0.12476E+03
   307    0.39579E+04    0.10390E+02    0.12489E+03
   308    0.39225E+04    0.10577E+02    0.12500E+03
   309    0.38872E+04    0.10763E+02    0.12506E+03
   310    0.38518E+04    0.10949E+02    0.12508E+03
   311    0.38165E+04    0.11137E+02    0.12506E+03
   312    0.37813E+04    0.11325E+02    0.12500E+03
   313    0.37460E+04    0.11513E+02    0.12490E+03
   314    0.37108E+04    0.11702E+02    0.12477E+03
   315    0.36756E+04    0.11891E+02    0.12460E+03
   316    0.36406E+04    0.12080E+02    0.12438E+03
   317    0.36056E+04    0.12269E+02    0.12413E+03
   318    0.35707E+04    0.12458E+02    0.12384E+03
   319    0.35359E+04    0.12648E+02    0.12351E+03
   320    0.35012E+04    0.12837E+02    0.12315E+03
   321    0.34667E+04    0.13027E+02    0.12274E+03
   322    0.34322E+04    0.13215E+02    0.12230E+03
   323    0.33980E+04    0.13404E+02    0.12181E+03
   324    0.33638E+04    0.13593E+02    0.12128E+03
   325    0.33299E+04    0.13780E+02    0.12073E+03
   326    0.32961E+04    0.13967E+02    0.12012E+03
   327    0.32625E+04    0.14154E+02    0.11948E+03
   328    0.32291E+04    0.14340E+02    0.11881E+03
   329    0.31959E+04    0.14526E+02    0.11809E+03
   330    0.31628E+04    0.14710E+02    0.11734E+03
   331    0.31301E+04    0.14893E+02    0.11655E+03
   332    0.30976E+04    0.15076E+02    0.11574E+03
   333    0.30652E+04    0.15258E+02    0.11488E+03
   334    0.30332E+04    0.15439E+02    0.11399E+03
   335    0.30013E+04    0.15618E+02    0.11305E+03
   336    0.29697E+04    0.15796E+02    0.11209E+03
   337    0.29385E+04    0.15973E+02    0.11108E+03
   338    0.29074E+04    0.16149E+02    0.11005E+03
   339    0.28768E+04    0.16324E+02    0.10897E+03
   340    0.28463E+04    0.16496E+02    0.10788E+03
   341    0.28161E+04    0.16667E+02    0.10673E+03
   342    0.27863E+04    0.16838E+02    0.10556E+03
   343    0.27568E+04    0.17005E+02    0.10435E+03
   344    0.27276E+04    0.17171E+02    0.10312E+03
   345    0.26987E+04    0.17335E+02    0.10185E+03
   346    0.26702E+04    0.17498E+02    0.10055E+03
   347    0.26420E+04    0.17658E+02    0.99223E+02
   348    0.26142E+04    0.17816E+02    0.97861E+02
   349    0.25866E+04    0.17972E+02    0.96467E+02
   350    0.25595E+04    0.18126E+02    0.95049E+02
   351    0.25329E+04    0.18277E+02    0.93599E+02
   352    0.25065E+04    0.18427E+02    0.92118E+02
   353    0.24805E+04    0.18573E+02    0.90621E+02
   354    0.24548E+04    0.18718E+02    0.89084E+02
   355    0.24296E+04    0.18860E+02    0.87524E+02
   356    0.24048E+04    0.18999E+02    0.85948E+02
   357    0.23804E+04    0.19136E+02    0.84340E+02
   358    0.23564E+04    0.19269E+02    0.82716E+02
   359    0.23327E+04    0.19400E+02    0.81060E+02
   360    0.23095E+04    0.19528E+02    0.79385E+02
   361    0.22867E+04    0.19653E+02    0.77685E+02
   362    0.22644E+04    0.19776E+02    0.75963E+02
   363    0.22424E+04    0.19896E+02    0.74222E+02
   364    0.22209E+04    0.20012E+02    0.72459E+02
   365    0.21998E+04    0.20125E+02    0.70678E+02
   366    0.21792E+04    0.20235E+02    0.68878E+02
   367    0.21590E+04    0.20341E+02    0.67060E+02
   368    0.21392E+04    0.20445E+02    0.65226E+02
   369    0.21199E+04    0.20545E+02    0.63374E+02
   370    0.21011E+04    0.20642E+02    0.61508E+02
   371    0.20826E+04    0.20735E+02    0.59626E+02
   372    0.20646E+04    0.20825E+02    0.57732E+02
   373    0.20471E+04    0.20911E+02    0.55822E+02
   374    0.20300E+04    0.20994E+02    0.53901E+02
   375    0.20133E+04    0.21074E+02    0.51968E+02
   376    0.19972E+04    0.21150E+02    0.50024E+02
   377    0.19815E+04    0.21222E+02    0.48072E+02
   378    0.19663E+04    0.21290E+02    0.46108E+02
   379    0.19515E+04    0.21355E+02    0.44137E+02
   380    0.19372E+04    0.21417E+02    0.42157E+02
