#           k/h    P           
    0.42098E-02    0.17927E+05
    0.42948E-02    0.18193E+05
    0.43816E-02    0.18461E+05
    0.44701E-02    0.18731E+05
    0.45604E-02    0.19002E+05
    0.46525E-02    0.19274E+05
    0.47465E-02    0.19548E+05
    0.48424E-02    0.19824E+05
    0.49402E-02    0.20100E+05
    0.50400E-02    0.20378E+05
    0.51419E-02    0.20657E+05
    0.52457E-02    0.20936E+05
    0.53517E-02    0.21217E+05
    0.54598E-02    0.21498E+05
    0.55701E-02    0.21779E+05
    0.56826E-02    0.22061E+05
    0.57974E-02    0.22343E+05
    0.59145E-02    0.22625E+05
    0.60340E-02    0.22907E+05
    0.61559E-02    0.23188E+05
    0.62803E-02    0.23469E+05
    0.64072E-02    0.23750E+05
    0.65366E-02    0.24029E+05
    0.66686E-02    0.24308E+05
    0.68033E-02    0.24585E+05
    0.69408E-02    0.24862E+05
    0.70810E-02    0.25136E+05
    0.72240E-02    0.25409E+05
    0.73700E-02    0.25681E+05
    0.75189E-02    0.25950E+05
    0.76708E-02    0.26216E+05
    0.78257E-02    0.26481E+05
    0.79838E-02    0.26742E+05
    0.81451E-02    0.27000E+05
    0.83096E-02    0.27254E+05
    0.84775E-02    0.27504E+05
    0.86488E-02    0.27750E+05
    0.88235E-02    0.27992E+05
    0.90017E-02    0.28228E+05
    0.91836E-02    0.28459E+05
    0.93691E-02    0.28685E+05
    0.95583E-02    0.28905E+05
    0.97514E-02    0.29119E+05
    0.99484E-02    0.29327E+05
    0.10149E-01    0.29528E+05
    0.10354E-01    0.29723E+05
    0.10564E-01    0.29911E+05
    0.10777E-01    0.30091E+05
    0.10995E-01    0.30264E+05
    0.11217E-01    0.30430E+05
    0.11443E-01    0.30587E+05
    0.11675E-01    0.30735E+05
    0.11910E-01    0.30874E+05
    0.12151E-01    0.31004E+05
    0.12397E-01    0.31123E+05
    0.12647E-01    0.31231E+05
    0.12902E-01    0.31328E+05
    0.13163E-01    0.31413E+05
    0.13429E-01    0.31486E+05
    0.13700E-01    0.31546E+05
    0.13977E-01    0.31594E+05
    0.14259E-01    0.31629E+05
    0.14547E-01    0.31650E+05
    0.14841E-01    0.31658E+05
    0.15141E-01    0.31652E+05
    0.15447E-01    0.31633E+05
    0.15759E-01    0.31599E+05
    0.16077E-01    0.31551E+05
    0.16402E-01    0.31488E+05
    0.16734E-01    0.31411E+05
    0.17072E-01    0.31319E+05
    0.17416E-01    0.31212E+05
    0.17768E-01    0.31089E+05
    0.18127E-01    0.30950E+05
    0.18493E-01    0.30795E+05
    0.18867E-01    0.30624E+05
    0.19248E-01    0.30437E+05
    0.19637E-01    0.30233E+05
    0.20034E-01    0.30013E+05
    0.20438E-01    0.29776E+05
    0.20851E-01    0.29524E+05
    0.21272E-01    0.29256E+05
    0.21702E-01    0.28973E+05
    0.22141E-01    0.28675E+05
    0.22588E-01    0.28363E+05
    0.23044E-01    0.28036E+05
    0.23510E-01    0.27695E+05
    0.23985E-01    0.27341E+05
    0.24469E-01    0.26975E+05
    0.24964E-01    0.26597E+05
    0.25468E-01    0.26208E+05
    0.25982E-01    0.25809E+05
    0.26507E-01    0.25401E+05
    0.27043E-01    0.24985E+05
    0.27589E-01    0.24561E+05
    0.28146E-01    0.24131E+05
    0.28715E-01    0.23695E+05
    0.29295E-01    0.23255E+05
    0.29887E-01    0.22813E+05
    0.30490E-01    0.22368E+05
    0.31106E-01    0.21924E+05
    0.31735E-01    0.21479E+05
    0.32376E-01    0.21037E+05
    0.33030E-01    0.20598E+05
    0.33697E-01    0.20164E+05
    0.34378E-01    0.19736E+05
    0.35072E-01    0.19315E+05
    0.35781E-01    0.18903E+05
    0.36504E-01    0.18501E+05
    0.37241E-01    0.18108E+05
    0.37993E-01    0.17725E+05
    0.38761E-01    0.17354E+05
    0.39544E-01    0.16995E+05
    0.40343E-01    0.16649E+05
    0.41158E-01    0.16317E+05
    0.41989E-01    0.16000E+05
    0.42838E-01    0.15701E+05
    0.43703E-01    0.15419E+05
    0.44586E-01    0.15155E+05
    0.45486E-01    0.14905E+05
    0.46405E-01    0.14671E+05
    0.47343E-01    0.14450E+05
    0.48299E-01    0.14241E+05
    0.49275E-01    0.14043E+05
    0.50270E-01    0.13855E+05
    0.51286E-01    0.13677E+05
    0.52322E-01    0.13506E+05
    0.53379E-01    0.13341E+05
    0.54457E-01    0.13180E+05
    0.55557E-01    0.13021E+05
    0.56680E-01    0.12862E+05
    0.57825E-01    0.12700E+05
    0.58993E-01    0.12533E+05
    0.60184E-01    0.12360E+05
    0.61400E-01    0.12177E+05
    0.62641E-01    0.11983E+05
    0.63906E-01    0.11777E+05
    0.65197E-01    0.11556E+05
    0.66514E-01    0.11320E+05
    0.67858E-01    0.11068E+05
    0.69229E-01    0.10800E+05
    0.70627E-01    0.10515E+05
    0.72054E-01    0.10215E+05
    0.73510E-01    0.99011E+04
