#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.111445E-01   0.144186E+08   0.144071E+08  -0.324308E+04  -0.324423E+04   0.000000E+00   0.144167E+08   0.144167E+08   0.144167E+08  -0.353698E+00   0.739221E+07   0.739212E+07   0.296888E+01
   0.117159E-01   0.141834E+08   0.141709E+08  -0.288655E+04  -0.288757E+04   0.000000E+00   0.141813E+08   0.141813E+08   0.141813E+08  -0.347923E+00   0.727152E+07   0.727141E+07   0.306155E+01
   0.123165E-01   0.139392E+08   0.139256E+08  -0.256686E+04  -0.256777E+04   0.000000E+00   0.139370E+08   0.139370E+08   0.139370E+08  -0.341929E+00   0.714624E+07   0.714612E+07   0.315389E+01
   0.129480E-01   0.136860E+08   0.136712E+08  -0.228037E+04  -0.228117E+04   0.000000E+00   0.136836E+08   0.136836E+08   0.136836E+08  -0.335712E+00   0.701631E+07   0.701618E+07   0.324532E+01
   0.136119E-01   0.134236E+08   0.134076E+08  -0.202376E+04  -0.202448E+04   0.000000E+00   0.134209E+08   0.134209E+08   0.134209E+08  -0.329268E+00   0.688165E+07   0.688151E+07   0.333517E+01
   0.143098E-01   0.131519E+08   0.131345E+08  -0.179407E+04  -0.179471E+04   0.000000E+00   0.131490E+08   0.131490E+08   0.131490E+08  -0.322596E+00   0.674220E+07   0.674205E+07   0.342265E+01
   0.150434E-01   0.128708E+08   0.128519E+08  -0.158861E+04  -0.158917E+04   0.000000E+00   0.128676E+08   0.128676E+08   0.128676E+08  -0.315693E+00   0.659793E+07   0.659777E+07   0.350689E+01
   0.158147E-01   0.125802E+08   0.125598E+08  -0.140495E+04  -0.140545E+04   0.000000E+00   0.125768E+08   0.125768E+08   0.125768E+08  -0.308559E+00   0.644882E+07   0.644865E+07   0.358688E+01
   0.166256E-01   0.122803E+08   0.122583E+08  -0.124091E+04  -0.124135E+04   0.000000E+00   0.122766E+08   0.122766E+08   0.122766E+08  -0.301193E+00   0.629489E+07   0.629471E+07   0.366150E+01
   0.174780E-01   0.119948E+08   0.119711E+08  -0.109669E+04  -0.109708E+04   0.000000E+00   0.119908E+08   0.119908E+08   0.119908E+08  -0.294183E+00   0.614837E+07   0.614818E+07   0.372639E+01
   0.183741E-01   0.116794E+08   0.116540E+08  -0.966209E+03  -0.966551E+03   0.000000E+00   0.116752E+08   0.116752E+08   0.116752E+08  -0.286438E+00   0.598651E+07   0.598631E+07   0.378586E+01
   0.193162E-01   0.113553E+08   0.113281E+08  -0.849971E+03  -0.850272E+03   0.000000E+00   0.113507E+08   0.113507E+08   0.113507E+08  -0.278478E+00   0.582016E+07   0.581994E+07   0.383580E+01
   0.203065E-01   0.110227E+08   0.109937E+08  -0.746536E+03  -0.746800E+03   0.000000E+00   0.110179E+08   0.110179E+08   0.110179E+08  -0.270312E+00   0.564949E+07   0.564926E+07   0.387458E+01
   0.213477E-01   0.106822E+08   0.106514E+08  -0.654604E+03  -0.654835E+03   0.000000E+00   0.106771E+08   0.106771E+08   0.106771E+08  -0.261951E+00   0.547476E+07   0.547451E+07   0.390048E+01
